County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percent Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68379,125518,139,139,3,ELA,149,139,2471.3,47.48,24.46,71.94,17.27,10.79,139
37,68411,126086,201,201,3,ELA,64,62,2452.4,33.87,24.19,58.06,25.81,16.13,62
37,68338,126151,164,164,3,ELA,39,37,2359.6,2.7,10.81,13.51,27.03,59.46,37
37,68338,126151,164,164,8,ELA,19,18,2486,0,16.67,16.67,33.33,50,18
37,68452,126300,32,32,8,ELA,14,11,2578.3,0,54.55,54.55,36.36,9.09,11
37,68452,126300,32,32,11,ELA,*,*,*,*,*,*,*,*,*
37,68338,126730,47,47,3,ELA,28,28,2474.2,39.29,35.71,75,21.43,3.57,28
37,68338,126938,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68338,126938,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68338,126938,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68213,126995,58,58,8,ELA,20,20,2563.1,10,35,45,40,15,20
37,68213,127001,81,81,8,ELA,19,19,2551.4,5.26,36.84,42.11,42.11,15.79,19
37,68213,127084,142,142,3,ELA,27,15,2400.3,13.33,20,33.33,40,26.67,15
37,68213,127084,142,142,8,ELA,31,23,2557,17.39,26.09,43.48,39.13,17.39,23
37,68213,127084,142,142,11,ELA,29,20,2643.1,35,40,75,20,5,20
37,68049,127118,139,139,3,ELA,26,24,2455.5,29.17,45.83,75,8.33,16.67,24
37,68049,127118,139,139,8,ELA,27,26,2606.7,30.77,30.77,61.54,26.92,11.54,26
37,68049,127167,250,249,3,ELA,77,74,2437.6,20.27,35.14,55.41,27.03,17.57,74
37,68049,127167,250,249,8,ELA,25,25,2619.2,36,32,68,28,4,25
37,68106,127241,174,174,11,ELA,177,174,2677.2,53.45,30.46,83.91,13.22,2.87,174
37,73551,127423,303,303,11,ELA,317,303,2677.7,56.11,28.38,84.49,10.56,4.95,303
37,68023,127431,615,615,3,ELA,158,158,2481.3,50,24.68,74.68,17.09,8.23,158
37,76471,127605,176,176,3,ELA,64,63,2423.5,23.81,25.4,49.21,19.05,31.75,63
37,68338,127647,111,110,11,ELA,113,111,2603.2,21.82,37.27,59.09,24.55,16.36,110
37,68338,127654,80,80,3,ELA,35,29,2355.6,6.9,13.79,20.69,20.69,58.62,29
37,68338,128066,124,124,8,ELA,44,43,2563.1,11.63,39.53,51.16,30.23,18.6,43
37,68411,128082,148,148,3,ELA,72,72,2405,13.89,29.17,43.06,25,31.94,72
37,68452,128223,342,342,3,ELA,85,77,2419.6,23.38,23.38,46.75,20.78,32.47,77
37,68452,128223,342,342,8,ELA,41,39,2577.8,17.95,46.15,64.1,20.51,15.38,39
37,68163,128421,443,443,3,ELA,58,57,2373.1,3.51,21.05,24.56,22.81,52.63,57
37,68163,128421,443,443,8,ELA,81,76,2559.7,9.21,38.16,47.37,38.16,14.47,76
37,68163,128421,443,443,11,ELA,*,*,*,*,*,*,*,*,*
37,68437,128470,84,84,8,ELA,*,*,*,*,*,*,*,*,*
37,68437,128470,84,84,11,ELA,76,70,2555.4,2.86,32.86,35.71,44.29,20,70
37,68338,128744,44,44,8,ELA,*,*,*,*,*,*,*,*,*
37,68338,128744,44,44,11,ELA,23,22,2632,40.91,22.73,63.64,31.82,4.55,22
37,68098,128769,286,286,8,ELA,101,100,2564.3,11,38,49,29,22,100
37,68130,128793,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68130,128793,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68130,128819,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68387,129049,323,323,3,ELA,80,80,2500,60,18.75,78.75,11.25,10,80
37,68296,129056,678,678,3,ELA,123,122,2471,44.26,25.41,69.67,22.13,8.2,122
37,68296,129056,678,678,8,ELA,111,105,2642.1,45.71,33.33,79.05,15.24,5.71,105
