High School,AP Pass Rate,MATH Weighted Mean Ele,ELA Weighted Mean Ele,Sum of ELA & MATH
Diego Springs Academy; Borrego Springs Unified,,2369.5,2338.6,4708.1
San Diego Neighborhood Homeschools; Mountain Empire Unified,,2420.1,2426.6,4846.7
Pivot Charter School - San Diego; Mountain Empire Unified,,2420.1,2426.6,4846.7
San Diego Virtual; Mountain Empire Unified,,2379.0197530864198,2377.1225000000004,4756.14225308642
Compass Charter Schools of San Diego; Mountain Empire Unified,,2401.0756097560975,2416.978048780488,4818.053658536585
Pacific View Charter; Oceanside Unified,,2440.1,2436.0,4876.1
Audeo Charter; San Diego Unified,,2500.4,2476.1,4976.5
Ingenuity Charter; San Diego Unified,,2430.8990521327014,2415.5080188679244,4846.407071000625
Learning Choice Academy; San Diego Unified,,2414.991525423729,2412.638983050848,4827.630508474576
Laurel Preparatory Academy; San Diego Unified,,2480.571875,2469.080769230769,4949.6526442307695
John Muir; San Diego Unified,,2489.1444444444446,2471.4155555555553,4960.5599999999995
City Heights Preparatory Charter; San Diego Unified,,2413.901798561151,2399.6980769230768,4813.599875484228
Bayshore Preparatory Charter; San Marcos Unified,,2425.2943722943724,2428.118777292577,4853.41314958695
California Pacific Charter Schools - San Diego; Warner Unified,,2403.9,2399.0,4802.9
