County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68338,119610,758,758,8,MATH,199,197,2490.6,3.05,13.71,16.75,24.87,58.38,197
37,68338,119610,758,758,11,MATH,140,140,2521.3,0.71,7.86,8.57,35.71,55.71,140
37,68049,119990,393,393,11,MATH,436,393,2459.3,0.25,2.04,2.29,12.21,85.5,393
37,68338,120410,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68338,121145,67,66,3,MATH,27,25,2369.6,4,24,28,12,60,25
37,68213,121582,230,230,8,MATH,56,55,2657.1,52.73,25.45,78.18,18.18,3.64,55
37,68338,121681,210,210,3,MATH,48,46,2414.4,10.87,23.91,34.78,41.3,23.91,46
37,68338,121681,210,210,8,MATH,30,28,2584.8,25,32.14,57.14,21.43,21.43,28
37,68338,122788,75,75,11,MATH,79,75,2564.5,9.33,22.67,32,24,44,75
37,75416,122796,13,13,3,MATH,*,*,*,*,*,*,*,*,*
37,68379,123000,710,710,3,MATH,108,106,2378.8,2.83,17.92,20.75,29.25,50,106
37,68379,123000,710,710,8,MATH,112,111,2503.5,7.21,15.32,22.52,29.73,47.75,111
37,76471,123042,297,297,8,MATH,103,99,2509.3,6.06,13.13,19.19,31.31,49.49,99
37,76471,123059,207,207,3,MATH,65,62,2435.7,22.58,22.58,45.16,29.03,25.81,62
37,68213,123224,127,127,8,MATH,43,24,2486.5,8.33,12.5,20.83,8.33,70.83,24
37,68213,123224,127,127,11,MATH,122,76,2513.7,5.26,6.58,11.84,26.32,61.84,76
37,68213,123240,50,50,3,MATH,*,*,*,*,*,*,*,*,*
37,68213,123240,50,50,8,MATH,*,*,*,*,*,*,*,*,*
37,68213,123240,50,50,11,MATH,*,*,*,*,*,*,*,*,*
37,68338,123778,167,167,3,MATH,29,29,2469.2,20.69,58.62,79.31,6.9,13.79,29
37,68338,123778,167,167,8,MATH,27,27,2623.4,48.15,14.81,62.96,25.93,11.11,27
37,68338,124115,582,582,8,MATH,197,194,2431.9,1.55,5.15,6.7,19.07,74.23,194
37,68338,124206,224,224,3,MATH,46,44,2401.2,6.82,20.45,27.27,36.36,36.36,44
37,68338,124206,224,224,8,MATH,23,21,2532.7,14.29,23.81,38.1,23.81,38.1,21
37,68163,124271,221,221,8,MATH,*,*,*,*,*,*,*,*,*
37,68163,124271,221,221,11,MATH,264,207,2439.2,0,0.97,0.97,8.7,90.34,207
37,68023,124321,153,153,3,MATH,28,28,2400.1,10.71,10.71,21.43,39.29,39.29,28
37,68023,124321,153,153,8,MATH,24,23,2518.2,17.39,8.7,26.09,21.74,52.17,23
37,68338,124347,138,138,8,MATH,47,45,2476,4.44,13.33,17.78,17.78,64.44,45
37,68452,124917,39,39,3,MATH,*,*,*,*,*,*,*,*,*
37,68452,124917,39,39,8,MATH,11,11,2484.4,0,9.09,9.09,36.36,54.55,11
37,68452,124917,39,39,11,MATH,17,16,2526.6,0,12.5,12.5,25,62.5,16
37,68403,125401,59,59,11,MATH,67,59,2459.3,0,1.69,1.69,8.47,89.83,59
37,68379,125518,147,147,3,MATH,149,147,2477.8,35.37,42.86,78.23,14.29,7.48,147
37,68411,126086,203,203,3,MATH,64,64,2458.9,26.56,34.38,60.94,29.69,9.38,64
37,68338,126151,164,164,3,MATH,39,37,2361.9,2.7,8.11,10.81,27.03,62.16,37
37,68338,126151,164,164,8,MATH,19,17,2394.2,0,0,0,11.76,88.24,17
37,68452,126300,32,32,8,MATH,14,11,2483,0,27.27,27.27,18.18,54.55,11
37,68452,126300,32,32,11,MATH,*,*,*,*,*,*,*,*,*
37,68338,126730,47,46,3,MATH,28,28,2459.2,28.57,39.29,67.86,10.71,21.43,28
37,68338,126938,*,*,3,MATH,*,*,*,*,*,*,*,*,*
37,68338,126938,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68338,126938,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68213,126995,58,58,8,MATH,20,20,2504.2,0,20,20,30,50,20
37,68213,127001,81,81,8,MATH,19,19,2559.6,21.05,21.05,42.11,26.32,31.58,19
37,68213,127084,144,144,3,MATH,27,15,2368.1,0,6.67,6.67,40,53.33,15
37,68213,127084,144,144,8,MATH,31,24,2498.8,12.5,4.17,16.67,25,58.33,24
37,68213,127084,144,144,11,MATH,29,20,2577.2,0,35,35,30,35,20
37,68049,127118,139,139,3,MATH,26,24,2438.9,16.67,33.33,50,41.67,8.33,24
37,68049,127118,139,139,8,MATH,27,26,2612.6,42.31,15.38,57.69,19.23,23.08,26
37,68049,127167,248,248,3,MATH,77,73,2426.4,15.07,31.51,46.58,30.14,23.29,73
37,68049,127167,248,248,8,MATH,25,25,2596.5,28,32,60,20,20,25
37,68106,127241,174,174,11,MATH,177,174,2622.1,16.67,31.61,48.28,29.31,22.41,174
37,73551,127423,297,297,11,MATH,317,297,2662.1,36.7,24.92,61.62,22.56,15.82,297
37,68023,127431,614,614,3,MATH,158,158,2478.6,35.44,37.97,73.42,18.35,8.23,158
37,76471,127605,176,176,3,MATH,64,63,2422.4,22.22,20.63,42.86,23.81,33.33,63
37,68338,127647,111,111,11,MATH,113,111,2577.9,9.01,20.72,29.73,33.33,36.94,111
37,68338,127654,81,81,3,MATH,35,29,2341.2,0,6.9,6.9,17.24,75.86,29
37,68338,128066,124,124,8,MATH,44,43,2488.7,4.65,9.3,13.95,27.91,58.14,43
37,68411,128082,148,148,3,MATH,72,72,2432.8,13.89,37.5,51.39,23.61,25,72
37,68452,128223,342,342,3,MATH,85,78,2427.5,16.67,30.77,47.44,25.64,26.92,78
37,68452,128223,342,342,8,MATH,41,39,2518.4,2.56,23.08,25.64,25.64,48.72,39
37,68163,128421,441,441,3,MATH,58,56,2384.4,7.14,17.86,25,25,50,56
37,68163,128421,441,441,8,MATH,81,76,2518.3,5.26,13.16,18.42,35.53,46.05,76
37,68163,128421,441,441,11,MATH,*,*,*,*,*,*,*,*,*
37,68437,128470,82,82,8,MATH,*,*,*,*,*,*,*,*,*
37,68437,128470,82,82,11,MATH,77,69,2503.4,0,2.9,2.9,26.09,71.01,69
37,68338,128744,44,44,8,MATH,*,*,*,*,*,*,*,*,*
37,68338,128744,44,44,11,MATH,23,22,2575.3,13.64,13.64,27.27,31.82,40.91,22
37,68098,128769,284,284,8,MATH,101,99,2580.9,31.31,17.17,48.48,24.24,27.27,99
37,68130,128793,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68130,128793,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68130,128819,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68387,129049,323,323,3,MATH,80,80,2525.1,63.75,22.5,86.25,13.75,0,80
37,68296,129056,677,677,3,MATH,123,122,2479.5,40.16,30.33,70.49,18.03,11.48,122
37,68296,129056,677,677,8,MATH,111,105,2648.7,54.29,20.95,75.24,11.43,13.33,105
37,68049,129221,56,56,3,MATH,*,*,*,*,*,*,*,*,*
37,68049,129221,56,56,8,MATH,13,13,2493.5,15.38,0,15.38,30.77,53.85,13
37,68049,129221,56,56,11,MATH,*,*,*,*,*,*,*,*,*
37,76851,129320,50,50,11,MATH,57,50,2578.1,14,28,42,24,34,50
37,68338,129387,44,44,3,MATH,*,*,*,*,*,*,*,*,*
37,68338,129395,93,93,3,MATH,25,25,2540.1,72,24,96,0,4,25
37,68213,129668,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68213,129668,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,67983,131144,66,66,11,MATH,85,66,2441.8,0,1.52,1.52,6.06,92.42,66
